id,partida_id,jogador_id,clube_id,tipo_evento,tipo_gol,minuto
453,62,192,16,Gol,Normal,62
454,62,193,16,Substituição,,
455,62,163,14,Substituição,,
456,62,169,14,Substituição,,
457,62,268,16,Entrou,,
458,62,162,14,Entrou,,
459,62,296,14,Entrou,,
460,63,252,9,Substituição,,
461,63,106,9,Substituição,,
462,63,278,5,Substituição,,
463,63,279,5,Substituição,,
464,63,58,5,Gol,Normal,67
465,63,360,9,Entrou,,
466,63,107,9,Entrou,,
467,63,361,5,Entrou,,
468,63,57,5,Entrou,,
469,64,39,4,Substituição,,
470,64,41,4,Gol,Normal,55
471,64,46,4,Substituição,,
472,64,113,10,Gol,Normal,46
473,64,256,10,Substituição,,
474,64,362,4,Entrou,,
475,64,363,4,Entrou,,
476,64,123,10,Entrou,,
477,65,249,20,Substituição,,
478,65,356,20,Substituição,,
479,65,213,18,Substituição,,
480,65,271,18,Substituição,,
481,65,331,20,Entrou,,
482,65,242,20,Entrou,,
483,65,212,18,Entrou,,
484,65,364,18,Entrou,,
485,66,177,15,Gol,Normal,86
486,66,175,15,Substituição,,
487,66,179,15,Substituição,,
488,66,166,14,Substituição,,
489,66,357,14,Substituição,,
490,66,365,15,Entrou,,
491,66,196,15,Entrou,,
492,66,169,14,Entrou,,
493,66,352,14,Entrou,,
494,67,32,3,Substituição,,
495,67,33,3,Substituição,,
496,67,34,3,Gol,Normal,9
497,67,34,3,Gol,Normal,71
498,67,21,2,Gol,Normal,61
499,67,26,3,Entrou,,
500,67,335,3,Entrou,,
501,68,3,1,Substituição,,
502,68,257,1,Substituição,,
503,68,58,5,Gol,Normal,8
504,68,340,5,Substituição,,
505,68,306,5,Substituição,,
506,68,288,1,Entrou,,
507,68,10,1,Entrou,,
508,68,361,5,Entrou,,
509,68,57,5,Entrou,,
510,69,116,10,Assistência,,32
511,69,256,10,Gol,Normal,32
512,69,256,10,Substituição,,
513,69,141,12,Gol,Normal,44
514,69,141,12,Substituição,,
515,69,119,10,Entrou,,
516,69,149,12,Entrou,,
517,70,121,9,Substituição,,
518,70,105,9,Substituição,,
519,70,62,6,Substituição,,
520,70,324,6,Substituição,,
521,70,69,6,Gol,Normal,67
522,70,325,6,Gol,Normal,57
523,70,325,6,Gol,Normal,59
524,70,106,9,Entrou,,
525,70,107,9,Entrou,,
526,70,368,6,Entrou,,
527,70,353,6,Entrou,,
528,71,284,11,Gol,Normal,17
529,71,284,11,Substituição,,
530,71,369,4,Gol,Normal,60
531,71,369,4,Substituição,,
532,71,363,4,Substituição,,
533,71,133,11,Entrou,,
534,71,370,4,Entrou,,
535,71,46,4,Entrou,,
536,72,156,13,Substituição,,
537,72,372,13,Substituição,,
538,72,91,8,Gol,Normal,57
539,72,94,8,Gol,Normal,71
540,72,321,13,Entrou,,
541,72,321,13,Gol,Normal,85
542,72,351,13,Entrou,,
543,72,351,13,Gol,Normal,73
544,73,231,19,Substituição,,
545,73,232,19,Gol,Normal,57
546,73,232,19,Gol,Normal,80
547,73,235,19,Substituição,,
548,73,207,17,Gol,Normal,39
549,73,292,17,Substituição,,
550,73,313,17,Substituição,,
551,73,230,19,Entrou,,
552,73,301,19,Entrou,,
553,73,312,17,Entrou,,
554,73,291,17,Entrou,,
555,74,212,18,Substituição,,
556,74,349,18,Substituição,,
557,74,220,18,Gol,Normal,90
558,74,322,15,Substituição,,
559,74,196,15,Substituição,,
560,74,374,18,Entrou,,
561,74,224,18,Entrou,,
562,74,375,15,Entrou,,
563,74,182,15,Entrou,,
564,75,324,6,Substituição,,
565,75,68,6,Gol,Normal,80
566,75,69,6,Gol,Normal,41
567,75,325,6,Substituição,,
568,75,376,3,Substituição,,
569,75,377,3,Substituição,,
570,75,353,6,Entrou,,
571,75,344,6,Entrou,,
572,75,335,3,Entrou,,
573,75,378,3,Entrou,,
574,76,379,17,Substituição,,
575,76,263,17,Substituição,,
576,76,172,13,Substituição,,
577,76,260,17,Entrou,,
578,76,312,17,Entrou,,
579,76,156,13,Entrou,,
580,77,80,7,Gol,Normal,22
581,77,80,7,Gol,Normal,80
582,77,270,7,Substituição,,
583,77,290,7,Gol,Normal,6
584,77,195,16,Substituição,,
585,77,193,16,Substituição,,
586,77,194,16,Gol,Normal,26
587,77,194,16,Gol,Normal,67
588,77,84,7,Entrou,,
589,77,268,16,Entrou,,
590,77,380,16,Entrou,,
591,78,89,8,Substituição,,
592,78,91,8,Gol,Normal,36
593,78,92,8,Substituição,,
594,78,94,8,Gol,Normal,6
595,78,232,19,Gol,Normal,43
596,78,230,19,Substituição,,
597,78,300,19,Gol,Normal,63
598,78,234,19,Substituição,,
599,78,381,8,Entrou,,
600,78,346,8,Entrou,,
601,78,231,19,Entrou,,
602,78,301,19,Entrou,,
603,78,301,19,Gol,Normal,81
604,79,279,5,Substituição,,
605,79,54,5,Gol,Normal,4
