Nome,Primeira_Alcunha,Mascote,Fundação
Marília Atlético Clube,,Tigre,12 de abrilde1942(83 anos)[3]
São Raimundo Esporte Clube (Amazonas),,Tufão,18 de novembrode1918(106 anos)[10]
Paulista Futebol Clube,,Galo,17 de maiode1909(116 anos)
Guarany Sporting Club,,Cacique,2 de julhode1938(86 anos)
União Esporte Clube,,Touro[6],6 de junhode1973(52 anos)[9]
Goiatuba Esporte Clube,,Azulão,5 de maiode1970(55 anos)
Luverdense Esporte Clube,,Espiga de MilhoeEma,24 de janeirode2004(21 anos)
Associação Desportiva Recreativa Cultural Icasa,Verdão do Cariri,periquito,7 de janeirode2002(23 anos)
Guaratinguetá Futebol Ltda.,,Garça,1 de outubrode1998(26 anos)
Brusque Futebol Clube,"""Maior do Vale""",Marreco,12 de outubrode1987(37 anos)[3]
Itaperuna Esporte Clube,,Águia,21 de julhode1989(35 anos)
América Futebol Clube,,Periquito,12 de abrilde1914(111 anos)comoJoão de Barros
Grêmio Novorizontino,,Tigre[4],1 de marçode2010(15 anos)[6]
Tupi Football Club,,Galo,26 de maiode1912(113 anos)
Rio Branco Football Club,,Estrela,8 de junhode1919(105 anos)
Clube Náutico Marcílio Dias,Marinheiro,Marinheiro,17 de marçode1919(106 anos)
Associação Cultural Esporte Clube Baraúnas,,Leão,14 de janeirode1960(65 anos)
Blumenau Esporte Clube,,Urso,19 de julhode1919
Duque de Caxias Futebol Clube,,Águia,8 de marçode2005(20 anos)
Clube Esportivo Bento Gonçalves,,Zebra,28 de agostode1919(105 anos)
Ubiratan Esporte Clube,,Leão,5 de fevereirode1947(78 anos)
Cascavel Esporte Clube,,Cobra Cascavel,19 de janeirode1979
Grêmio Esportivo Novorizontino,,Tigre,13 de marçode1973(52 anos)
Tombense Futebol Clube,O Gavião-Carcará,Gavião-Carcará,7 de setembrode1914(110 anos)
Alagoinhas Atlético Clube,,Carcará,2 de abrilde1970(55 anos)
Esporte Clube Pelotas,,Lobo,11 de outubrode1908(116 anos)
Serra Futebol Clube,,Cobra Coral,24 de junhode1930(94 anos)[6]
Rio Branco de Andradas Futebol Clube,,Azulão (Pássaro),13 de junhode1948(76 anos)[3]
Grêmio Esportivo Tiradentes,N/A,Tiradentes,3 de fevereirode1967
Valeriodoce Esporte Clube,",",N/A,22 de novembrode1942(82 anos)
Amazonas Futebol Clube,,Onça-Pintada,23 de maiode2019(6 anos)
Esporte Clube Democrata,,Pantera,13 de fevereirode1932(93 anos)
Barra do Garças Futebol Clube,,N/A,9 de janeirode1978(47 anos)
Bonsucesso Futebol Clube,,Leão da Leopoldina,12 de outubrode1913(111 anos)
Ferroviário do Recife,,TremLocomotiva,17 de marçode1928(97 anos)comoGreat Western
Futebol Clube Santa Cruz,,Galo Carijó,26 de marçode1913(112 anos)[3]
Serrano Football Club,,Leão,29 de junhode1915(109 anos)
Sport Club Belém,",",Dragão,2 de dezembrode1965(59 anos)
União Bandeirante Futebol Clube,,Caçula milionárioBêbadoCaipira[1],15 de novembrode1964
Salgueiro Atlético Clube,,Carcará,22 de maiode1972(53 anos)[1][2]
Macaé Esporte Futebol Clube,,Leão,17 de julhode1990(34 anos)[4]
Sociedade Imperatriz de Desportos,Cavalo de Aço,Cavalo,4 de janeirode1962(63 anos)[2]
Estrela do Norte Futebol Clube,Alvinegro do Sumaré,Estrela,16 de janeiro de 1916
Sociedade Esportiva de Picos,,Zangão,8 de fevereirode1976(49 anos)
Ceilândia Esporte Clube,,Gato Preto,1963(62 anos)refundado em25 de agostode1979(45 anos)
União Agrícola Barbarense Futebol Clube,,N/A,22 de novembrode1914(110 anos)[1]
Icasa Esporte Clube,,N/A,1 de maiode1963
Parnahyba Sport Club,,Tubarão,1 de maiode1913(112 anos)
Nacional Atlético Clube,,Canário,23 de dezembrode1961(63 anos)
Independência Futebol Clube,,Raposa,2 de agostode1946(78 anos)
Lagarto Esporte Clube,N/A,N/A,1955
4 de Julho Esporte Clube,,Gavião[1],4 de julhode1987(37 anos)
Athletic Club,,Guerreiro,27 de junhode1909(115 anos)
Democrata Futebol Clube,,Jacaré,14 de junhode1914(110 anos)
Associação Atlética Cabofriense,,N/A,15 de novembrode1955(69 anos)
Clube Atlético Douradense,,N/A,28 de marçode1974(47 anos)
Estudantes Sport Club,,Carneiro,1 de maiode1958(67 anos)[1]
Grêmio Esportivo Glória,,Leão,15 de novembrode1956(68 anos)
Princesa do Solimões Esporte Clube,,Tubarão,18 de agostode1971(53 anos)
Serrano Sport Club,,Índio Mongoió,22 de dezembrode1979(45 anos)
Associação Esportiva Tiradentes,,Tigre,15 de setembrode1961(63 anos)
América Futebol Clube,,Galo,14 de julhode1914(110 anos)[4]
Taguatinga Esporte Clube,TEC,Águia,18 de fevereirode1974(51 anos)[nota 1]
Botafogo Sport Club,,N/A,1 de novembrode1914(110 anos)
Calouros do Ar Futebol Clube,,Calourinho,1 de janeirode1952(73 anos)
Grêmio Esportivo Catanduvense,,N/A,5 de fevereirode1970[1]
Guarapari Esporte Clube,,N/A,12 de junhode1930(94 anos)
Sport Club Maguari,,N/A,24 de junhode1924
Foz do Iguaçu Esporte Clube,Dourado da fronteira,N/A,28 de fevereirode1988(37 anos)
Nacional Esporte Clube,N/A,Galo,13 de maiode1952(73 anos)
Associação Atlética Rodoviária do Amazonas,,Formiga,20 de janeirode1960
Associação Sportiva São Domingos,,Cruz,1 de setembrode1964(60 anos)
Madureira Esporte Clube,,Zé CariocaSeu Madura,8 de agostode1914(110 anos)
Rio Branco Esporte Clube,,Tigre[5],4 de agostode1913(111 anos)[7]
Ypiranga Futebol Clube,,Canário[1],18 de agostode1924(100 anos)
Esporte Clube São José,,São José,24 de maiode1913(112 anos)[5]
Águia de Marabá Futebol Clube,,Águia,22 de janeirode1982(43 anos)
Clube Atlético Sorocaba,,N/A,21 de fevereirode1991
Clube Atlético do Porto,,Gavião,30 de julhode1993(31 anos)[4]
Ji-Paraná Futebol Clube,,Galo,22 de abrilde1991(34 anos)
Tocantinópolis Esporte Clube,,Papagaio,1 de janeirode1989(36 anos)
