ID_Jogador,Nome Completo,Data de Nascimento,Data de Falecimento,Nacionalidade
127120,Adiel de Oliveira Amorim,1980-08-13,N/A,Brasil
84934,Paulo Ricardo Kobayashi,1970-01-09,N/A,Brasil
156460,Rómulo Otero Vasquez,1992-11-09,N/A,Venezuela
47835,Walter Damián Montillo,1984-04-14,N/A,Argentina
5472,Geilson de Carvalho Soares,1984-04-10,N/A,Brasil
413060,Orlando Pereira,1949-01-22,1999-09-04,Brasil
941501,João Pedro Chermont Crema,2006-01-18,N/A,Brasil
215767,Sérgio Antônio Soler de Oliveira Junior,1995-03-15,N/A,China
349432,Hermes da Rocha Freitas Júnior,1947-02-16,N/A,Brasil
5555,Dênis Oliveira de Souza,1983-09-21,N/A,Brasil
618334,Antônio Carlos lini,1952-11-12,N/A,Brasil
713736,Sérgio Santos de Oliveira,1969-08-03,2020-12-17,Brasil
6884,Julio César Manzur Caffarena,1981-01-22,N/A,Paraguai
435805,Douglas Moreira Fagundes,1996-04-17,N/A,Brasil
442640,Sergio Secundino dos Santos,1963-05-19,N/A,Brasil
123690,Carlos Eduardo Marangon,1963-02-02,N/A,Brasil
622198,Gilberto Moacir Schubert,1961-12-08,N/A,Brasil
5290,Ibson Barreto da Silva,1983-11-07,N/A,Brasil
349170,Luiz Paes Leme,1945-01-24,N/A,Brasil
69522,Bruno Henrique Fortunato Aguiar,1986-03-25,N/A,Brasil
32234,Germano Borovicz Cardoso Schweger,1981-03-21,N/A,Brasil
32223,Renato Carlos Martins Júnior,1987-05-14,N/A,Brasil
90287,Edi Wilson José dos Santos,1966-10-15,N/A,Brasil
424169,Wanderson de Jesus Martins,1995-07-17,N/A,Brasil
289108,Nilton Pinheiro da Silva,1954-11-05,N/A,Brasil
251196,Rafael Vinicius Carvalho Longuine,1990-05-30,N/A,Brasil
501505,Emerson Marçal,1944-10-11,N/A,Brasil
175238,John Stiven Mendoza Valencia,1992-06-27,N/A,Colômbia
132181,Leandro Damião da Silva dos Santos,1989-07-22,N/A,Brasil
87528,Werley Ananias da Silva,1988-09-05,N/A,Brasil
60628,Ricardo Soares Florencio,1976-06-18,N/A,Brasil
27941,Paulo Isidoro de Jesus,1953-08-03,N/A,Brasil
102206,Marcos Gabriel do Nascimento,1990-07-21,N/A,Brasil
72038,Anderson Luiz Schveitzer,1974-04-05,N/A,Brasil
9928,Júlio César Antônio de Souza,1976-06-15,N/A,Brasil
491977,Jobson Souza Santos,1995-09-13,N/A,Brasil
391695,Messias Rodrigues da Silva Júnior,1994-11-03,N/A,Brasil
84875,Manoel Messias Barbosa da Silva,1985-12-25,N/A,Brasil
66278,Maikon Fernando Souza Leite,1988-08-03,N/A,Brasil
32443,Heleno dos Santos Alves,1978-08-23,N/A,Brasil
417570,Joselino Martins de Jesus,1957-12-07,N/A,Brasil
119433,Waldemar Barbosa,1959-02-22,N/A,Brasil
5133,Valdo Cândido de Oliveira Filho,1964-01-12,N/A,Brasil
5252,Juan Maldonado Jaimez Júnior,1982-02-06,N/A,Brasil
22109,Mauro Ramos de Oliveira,1930-08-30,2002-09-18,Brasil
6308,José Elias Moedim Júnior,1976-09-25,N/A,Brasil
37125,Kayke Moreno de Andrade Rodrigues,1988-04-01,N/A,Brasil
547763,Jean Lucas de Souza Oliveira,1998-06-22,N/A,Brasil
52332,Alexandre Alves da Silva,1981-03-06,N/A,Brasil
69302,Maicon Pereira Roque,1988-09-14,N/A,Brasil
119489,Wladimir Rodrigues dos Santos,1954-08-29,N/A,Brasil
187285,Rildo Andrade Felicissimo,1989-03-20,N/A,Brasil
2480,Leonardo Mendes Lima da Silva,1982-01-14,N/A,Brasil
95020,Emiliano Gabriel Vecchio,1988-11-16,N/A,Argentina
94250,Gérson Pereira da Silva,1965-09-23,1994-05-17,Brasil
116488,Hélio Hermito Zampier Neto,1985-08-16,N/A,Brasil
29511,Leonardo José Aparecido Moura,1986-03-09,N/A,Brasil
5462,Wellington Katzor de Oliveira,1981-09-04,N/A,Brasil
920,Anderson Luiz de Carvalho,1981-07-19,N/A,Brasil
5625,Carlos Eduardo Casagrande,1975-05-07,N/A,Brasil
227264,Arinélson Freire Nunes,1973-01-27,N/A,Brasil
553564,Wagner Leonardo Calvelo de Souza,1999-07-23,N/A,Brasil
166993,Alexi Stival,1963-06-07,N/A,Brasil
28556,Carlos Caetano Bledorn Verri,1963-10-31,N/A,Brasil
1251063,Cláudio José Oddoni Agnelo,1960-02-20,N/A,Brasil
267861,Almir Moraes de Albuquerque,1937-10-28,1973-02-06,Brasil
26667,Joel Camargo,1946-09-18,2014-05-23,Brasil
