ID,clube,nome_completo,cidade,UF,região,ano_fundação,cores,ID_Ogol
517,Estanciano,ogol.com.br,Estância,SE,Nordeste,N/A,N/A,N/A
518,Falcon,ogol.com.br,Barra dos Coqueiros,SE,Nordeste,N/A,N/A,N/A
519,Feirense,ogol.com.br,Feira de Santana,BA,Nordeste,N/A,N/A,N/A
520,Formosa,ogol.com.br,Formosa,DF,Centro-Oeste,N/A,N/A,N/A
521,Freipaulistano,ogol.com.br,Frei Paulo,SE,Nordeste,N/A,N/A,N/A
522,Guarani de Palhoça,ogol.com.br,Palhoça,SC,Sul,N/A,N/A,N/A
523,Guarany de Bagé,ogol.com.br,Bagé,RS,Sul,N/A,N/A,N/A
524,Itabirito,ogol.com.br,Itabirito,MG,Sudeste,N/A,N/A,N/A
525,Itaboraí,ogol.com.br,Itaboraí,RJ,Sudeste,N/A,N/A,N/A
526,Itaporã,ogol.com.br,Itaporã,MS,Centro-Oeste,N/A,N/A,N/A
527,Jaraguá,ogol.com.br,Jaraguá,GO,Centro-Oeste,N/A,N/A,N/A
528,Jacyobá,ogol.com.br,Pão de Açúcar,AL,Nordeste,N/A,N/A,N/A
529,Jacobina,ogol.com.br,Jacobina,BA,Nordeste,N/A,N/A,N/A
530,Jequié,ogol.com.br,Jequié,BA,Nordeste,N/A,N/A,N/A
531,JV Lideral,ogol.com.br,Imperatriz,MA,Nordeste,N/A,N/A,N/A
532,Maricá,ogol.com.br,Maricá,RJ,Sudeste,N/A,N/A,N/A
533,Monte Azul,ogol.com.br,Monte Azul Paulista,SP,Sudeste,N/A,N/A,N/A
534,Nacional-MG [NAC],ogol.com.br,Esmeraldas,MG,Sudeste,N/A,N/A,N/A
535,Náuas,ogol.com.br,Cruzeiro do Sul,AC,Norte,N/A,N/A,N/A
536,Naviraiense,ogol.com.br,Naviraí,MS,Centro-Oeste,N/A,N/A,N/A
537,Nova Mutum,ogol.com.br,Nova Mutum,MT,Centro-Oeste,N/A,N/A,N/A
538,Nova Venécia,ogol.com.br,Nova Venécia,ES,Sudeste,N/A,N/A,N/A
539,Novo,ogol.com.br,Campo Grande,MS,Centro-Oeste,N/A,N/A,N/A
540,Penedense,ogol.com.br,Penedo,AL,Nordeste,N/A,N/A,N/A
541,Pérolas Negras,ogol.com.br,Resende,RJ,Sudeste,N/A,N/A,N/A
542,Porto Vitória,ogol.com.br,Vitória,ES,Sudeste,N/A,N/A,N/A
543,Próspera,ogol.com.br,Criciúma,SC,Sul,N/A,N/A,N/A
544,Prudentópolis,ogol.com.br,Prudentópolis,PR,Sul,N/A,N/A,N/A
545,Rio Branco VN,ogol.com.br,Venda Nova do Imigrante,ES,Sudeste,N/A,N/A,N/A
546,Rondoniense,ogol.com.br,Porto Velho,RO,Norte,N/A,N/A,N/A
547,Santa Rita,ogol.com.br,Boca da Mata,AL,Nordeste,N/A,N/A,N/A
548,Santana,ogol.com.br,Santana,AP,Norte,N/A,N/A,N/A
549,São Francisco-AC,ogol.com.br,Rio Branco,AC,Norte,N/A,N/A,N/A
550,São Joseense,ogol.com.br,São José dos Pinhais,PR,Sul,N/A,N/A,N/A
551,São Paulo Crystal,ogol.com.br,Cruz do Espírito Santo,PB,Nordeste,N/A,N/A,N/A
552,Serrano-PB,ogol.com.br,Campina Grande,PB,Nordeste,N/A,N/A,N/A
553,Sparta,ogol.com.br,Araguaína,TO,Norte,N/A,N/A,N/A
554,Tocantins de Miracema,ogol.com.br,Miracema do Tocantins,TO,Norte,N/A,N/A,N/A
555,Tocantins de Palmas †,ogol.com.br,Palmas,TO,Norte,N/A,N/A,N/A
556,Tupynambás,ogol.com.br,Juiz de Fora,MG,Sudeste,N/A,N/A,N/A
557,Vilhenense,ogol.com.br,Vilhena,RO,Norte,N/A,N/A,N/A
