Estádio,Capacidade,Localização
Mangueirão,45.0071,"Belém,PA"
Estádio Comendador Luís Meneghel,8.0002,N/A
Cornélio de Barros,12.0003,"Salgueiro,PE"
Moacyrzão[5],15.00064.7007,"Macaé,Rio de Janeiro,Brasil"
Frei Epifânio,10.000,"Imperatriz,Maranhão,Brasil"
Estádio Mário Monteiro(Estádio do Sumaré),60002,N/A
Gigantão da Malva,7.200,"Picos,PI"
Abadião,5.000,"Ceilândia,DF,Brasil"
Antônio Lins Ribeiro Guimarães[3],N/A,"Santa Bárbara d'Oeste,São Paulo,Brasil"
Arena Do Governo,16.000,N/A
Estádio Pedro Alelaf,5000,"Parnaíba,Piauí,Brasil"
José Cavalcanti,80001,"Patos,PB,Brasil"
Marinho Monte,1000,"Rio Branco,Brasil[1]"
N/A,N/A,"Lagarto,SE"
Arena Ytacoatiara,8.500,"Piripiri,Brasil"
Joaquim Portugal[1],6000,"São João del-Rei,Minas Gerais,Brasil"
Arena do Jacaré,19.998,"Sete Lagoas,Minas Gerais,Brasil"
Alair Corrêa (Correão),4200,"Cabo Frio(RJ),Brasil"
Douradão,30.000,N/A
Ferreira Lima,3.750,"Timbaúba,Pernambuco,Brasil"
Altos da Glória,80001,N/A
Gilbertão,15000,"Manacapuru,AM"
Estádio Lomanto Júnior,16000,"Vitória da Conquista,Bahia,Brasil"
N/A,N/A,"Fortaleza,CE"
Estádio Olímpico Dr. Sadalla Amin Ghanem,2.500,"Joinville,Santa Catarina,Brasil"
N/A,N/A,"Taguatinga,DF,Brasil"
N/A,N/A,"Salvador,BA"
Valdir Bezerra,3000,"Fortaleza,CE"
Silvio Salles,164742,N/A
Davino Mattos,30001,"Guarapari,Espírito Santo"
Carlos de Alencar Pinto.,3.000,N/A
Estadio do ABC,N/A,N/A
Estádio Municipal Juscelino Kubitschek (Itumbiara),30.000,"Itumbiara,GO"
Parque Amazonense,12.000,N/A
Cordeirão,4000,"Marechal Deodoro,Alagoas,Brasil"
Conselheiro Galvão,5.014,"Rio de Janeiro,Rio de Janeiro,Brasil"
Estádio Décio Vitta[8],16.3009,"Americana,São Paulo"
Colosso da Lagoa,220002,"Erechim,Rio Grande do Sul,Brasil"
Passo D'Areia[6],13000,"Porto Alegre,Rio Grande do Sul,Brasil"
Zinho de Oliveira,5500,"Marabá,Pará,Brasil"
Walter Ribeiro,13722,"Sorocaba,São Paulo,Brasil"
