partida_id,treinador_id,clube_id,tipo
298,18,5,Titular
299,,17,
299,3,3,Titular
300,11,15,Titular
300,12,13,Titular
301,,1,
301,13,10,Titular
302,,22,
302,,8,
303,,14,
303,,20,
304,,26,
304,,12,
305,29,7,Titular
305,,18,
306,32,2,Titular
306,26,11,Titular
307,,24,
307,11,15,Titular
308,,1,
308,,12,
309,28,23,Titular
309,12,13,Titular
310,3,3,Titular
310,30,19,Titular
311,,5,
311,,6,
312,29,7,Titular
312,,4,
313,,17,
313,13,10,Titular
314,,22,
314,26,11,Titular
315,1,21,Titular
315,9,14,Titular
316,,25,
316,,20,
317,,26,
317,,18,
318,,8,
318,,16,
319,,27,
319,32,2,Titular
320,28,23,Titular
320,26,11,Titular
321,,12,
321,,16,
322,,19,
322,,4,
323,,27,
323,11,15,Titular
324,,1,
324,,5,
325,,25,
325,,14,
326,,26,
326,13,10,Titular
327,,17,
327,,18,
328,15,22,Titular
328,12,13,Titular
329,,24,
329,,2,
330,,20,
330,,21,
331,,6,
331,3,3,Titular
332,29,7,Titular
332,,8,
333,,24,
333,,8,
334,15,22,Titular
334,,6,
335,3,3,Titular
335,1,21,Titular
336,28,23,Titular
336,33,16,Titular
337,12,13,Titular
337,32,2,Titular
338,,1,
338,26,11,Titular
339,,18,
339,13,10,Titular
340,,26,
340,,19,
341,11,15,Titular
341,34,20,Titular
342,,25,
342,,12,
343,,27,
343,,5,
344,,17,
344,,4,
345,29,7,Titular
345,,14,
346,31,25,Titular
346,3,3,Titular
347,,20,
347,,2,
348,25,12,Titular
348,1,21,Titular
349,28,23,Titular
349,,6,
350,,17,
350,30,19,Titular
351,,22,
351,,16,
352,13,10,Titular
352,29,7,Titular
353,,27,
353,,8,
354,26,11,Titular
354,,18,
355,,26,
355,,4,
356,,24,
356,,5,
357,9,14,Titular
357,11,15,Titular
358,27,1,Titular
358,12,13,Titular
359,1,21,Titular
359,,27,
360,13,10,Titular
360,,8,
361,,2,
361,,12,
362,,20,
362,,6,
363,,26,
363,,22,
364,,1,
364,29,7,Titular
365,11,15,Titular
365,33,16,Titular
366,,19,
366,26,11,Titular
367,,24,
367,,25,
368,,17,
368,28,23,Titular
369,,18,
369,,5,
370,3,3,Titular
370,9,14,Titular
371,12,13,Titular
371,23,4,Titular
372,,21,
372,,24,
373,,27,
373,,1,
374,,12,
374,,20,
375,,19,
375,13,10,Titular
376,24,11,Titular
376,,8,
377,,14,
377,,16,
378,29,7,Titular
378,28,23,Titular
379,3,3,Titular
379,11,15,Titular
380,,25,
380,,26,
381,,22,
381,,17,
382,,4,
382,,18,
383,,6,
383,32,2,Titular
384,12,13,Titular
384,35,5,Titular
385,3,3,Titular
385,33,16,Titular
386,24,11,Titular
386,,14,
387,30,19,Titular
387,,6,
388,,27,
388,28,23,Titular
389,,25,
389,,21,
390,34,20,Titular
